year,market_cap
1900,14.68
1901,15.90
1902,13.61
1903,12.68
1904,16.69
1905,14.57
1906,12.72
1907,10.49
1908,15.23
1909,13.31
1910,12.91
1911,15.22
1912,13.4
1913,13.48
1914,13.60
1915,9.99
1916,6.34
1917,5.74
1918,7.97
1919,9.61
1920,9.39
1921,22.58
1922,12.46
1923,9.05
1924,11.06
1925,10.13
1926,10.90
1927,15.47
1928,17.77
1929,13.94
1930,17.00
1931,13.99
1932,17.19
1933,23.73
1934,16.25
1935,17.87
1936,16.75
1937,10.50
1938,18.84
1939,13.23
1940,10.02
1941,7.97
1942,9.67
1943,12.65
1944,14.35
1945,19.17
1946,13.46
1947,9.02
1948,6.62
1949,7.22
1950,7.48
1951,9.97
1952,10.86
1953,10.09
1954,12.56
1955,12.12
1956,13.34
1957,12.49
1958,18.77
1959,17.12
1960,18.6
1961,21.25
1962,17.66
1963,18.77
1964,18.75
1965,17.81
1966,15.31
1967,17.71
1968,17.65
1969,15.76
1970,18.12
1971,18.01
1972,18.09
1973,11.68
1974,8.3
1975,11.82
1976,10.41
1977,8.28
1978,7.88
1979,7.39
1980,9.02
1981,7.73
1982,11.48
1983,11.52
1984,10.36
1985,14.28
1986,18.01
1987,14.02
1988,11.82
1989,15.13
1990,15.35
1991,25.93
1992,22.50
1993,21.34
1994,14.89
1995,18.08
1996,19.53
1997,24.29
1998,32.92
1999,29.04
2000,27.55
2001,46.17
2002,31.43
2003,22.73
2004,19.99
2005,18.07
2006,17.36
2007,21.46
2008,70.91
2009,20.70
2010,16.30
2011,14.87
2012,17.03
2013,18.15
2014,20.02
2015,22.18
2016,23.59
2017,24.97
2018,19.60
2019,24.88
2020,35.96
2021,23.11
2022,22.82
2023,25.01
2024,29.86